CustomerID,Recency,Frequency,Monetary,R_Quartile,F_Quartile,M_Quartile,RFM_Score,Segment
12346.0,325,2,0.0,1,2,1,4,At Risk
12347.0,1,7,4310.0,4,4,4,12,High Value
12348.0,74,4,1797.24,2,3,4,9,Loyal Customers
12349.0,18,1,1757.55,3,1,4,8,Loyal Customers
12350.0,309,1,334.4,1,1,2,4,At Risk
12352.0,35,11,1545.41,3,4,3,10,High Value
12353.0,203,1,89.0,1,1,1,3,Lost Customers
12354.0,231,1,1079.4,1,1,3,5,At Risk
12355.0,213,1,459.4,1,1,2,4,At Risk
12356.0,22,3,2811.43,3,2,4,9,Loyal Customers
12357.0,32,1,6207.67,3,1,4,8,Loyal Customers
12358.0,1,2,1168.06,4,2,3,9,Loyal Customers
12359.0,7,6,6245.53,4,4,4,12,High Value
12360.0,51,3,2662.06,2,2,4,8,Loyal Customers
12361.0,286,1,189.9,1,1,1,3,Lost Customers
12362.0,2,13,5154.58,4,4,4,12,High Value
12363.0,109,2,552.0,2,2,2,6,At Risk
12364.0,7,4,1313.1,4,3,3,10,High Value
12365.0,290,3,320.69,1,2,2,5,At Risk
12367.0,3,1,168.9,4,1,1,6,At Risk
12370.0,50,4,3545.69,2,3,4,9,Loyal Customers
12371.0,44,2,1887.96,3,2,4,9,Loyal Customers
12372.0,71,3,1298.04,2,2,3,7,Loyal Customers
12373.0,310,1,364.6,1,1,2,4,At Risk
12374.0,24,1,742.9300000000001,3,1,3,7,Loyal Customers
12375.0,2,3,455.42,4,2,2,8,Loyal Customers
12377.0,314,2,1628.1200000000001,1,2,4,7,Loyal Customers
12378.0,129,1,4008.62,2,1,4,7,Loyal Customers
12379.0,81,3,850.29,2,2,3,7,Loyal Customers
12380.0,21,5,2720.56,3,3,4,10,High Value
12381.0,4,6,1803.96,4,4,4,12,High Value
12383.0,184,6,1839.31,1,4,4,9,Loyal Customers
12384.0,28,3,566.16,3,2,2,7,Loyal Customers
12386.0,337,2,401.9,1,2,2,5,At Risk
12388.0,15,6,2780.66,4,4,4,12,High Value
12390.0,79,1,549.84,2,1,2,5,At Risk
12391.0,21,1,460.89,3,1,2,6,At Risk
12393.0,71,4,1582.6000000000001,2,3,3,8,Loyal Customers
12394.0,63,2,1272.48,2,2,3,7,Loyal Customers
12395.0,15,15,2998.28,4,4,4,12,High Value
12397.0,35,2,2409.9,3,2,4,9,Loyal Customers
12398.0,45,1,1635.6599999999999,3,1,4,8,Loyal Customers
12399.0,118,4,1108.65,2,3,3,8,Loyal Customers
12401.0,302,1,84.3,1,1,1,3,Lost Customers
12402.0,322,1,225.60000000000002,1,1,1,3,Lost Customers
12403.0,49,2,409.7,3,2,2,7,Loyal Customers
12405.0,148,1,1710.39,1,1,4,6,At Risk
12406.0,21,3,3280.75,3,2,4,9,Loyal Customers
12407.0,49,5,1708.12,3,3,4,10,High Value
12408.0,32,9,2842.57,3,4,4,11,High Value
12409.0,78,7,11056.93,2,4,4,10,High Value
12410.0,300,3,681.0799999999999,1,2,3,6,At Risk
12412.0,74,3,1226.88,2,2,3,7,Loyal Customers
12413.0,66,5,694.15,2,3,3,8,Loyal Customers
12414.0,216,3,562.41,1,2,2,5,At Risk
12415.0,23,26,123725.45,3,4,4,11,High Value
12417.0,2,12,3578.8,4,4,4,12,High Value
12418.0,112,1,668.58,2,1,3,6,At Risk
12420.0,63,1,600.39,2,1,2,5,At Risk
12421.0,15,5,806.27,4,3,3,10,High Value
12422.0,95,3,803.5600000000001,2,2,3,7,Loyal Customers
12423.0,0,9,1849.1100000000001,4,4,4,12,High Value
12424.0,162,2,1760.96,1,2,4,7,Loyal Customers
12425.0,77,1,777.2,2,1,3,6,At Risk
12426.0,194,1,582.73,1,1,2,4,At Risk
12427.0,11,5,708.37,4,3,3,10,High Value
12428.0,25,12,7877.2,3,4,4,11,High Value
12429.0,8,4,3750.4,4,3,4,11,High Value
12430.0,42,1,256.4,3,1,1,5,At Risk
12431.0,35,18,6416.39,3,4,4,11,High Value
12432.0,42,5,5059.32,3,3,4,10,High Value
12433.0,0,7,13375.87,4,4,4,12,High Value
12434.0,84,4,765.19,2,3,3,8,Loyal Customers
12435.0,79,2,7829.89,2,2,4,8,Loyal Customers
12436.0,99,1,509.01,2,1,2,5,At Risk
12437.0,1,19,4896.66,4,4,4,12,High Value
12438.0,13,2,2906.85,4,2,4,10,High Value
12441.0,366,1,173.55,1,1,1,3,Lost Customers
